Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Cadence,Max Cadence,Avg Pace,Best Pace,Total Ascent,Total Descent,Avg Stride Length,Training Stress Score®,Total Strokes,Avg. Swolf,Avg Stroke Rate,Steps,Total Reps,Total Sets,Decompression,Best Lap Time,Number of Laps,Moving Time,Elapsed Time,Min Elevation,Max Elevation
Walking,2023-10-02 18:41:19,false,"Majadahonda Walking","12.16","879","02:25:31","127","154","3.1","96","244","11:58","8:26","110","107","0.88","0.0","--","--","--","15,588","--","--","No","00:01:55.8","13","02:24:43","02:25:31","677","750"
Walking,2023-09-28 10:04:34,false,"Majadahonda Walking","10.27","768","02:12:04","121","158","2.8","87","250","12:52","7:00","126","125","0.91","0.0","--","--","--","13,076","--","--","No","00:00:16.2","12","01:56:01","02:12:05","670","750"
Walking,2023-09-25 19:31:30,false,"Majadahonda Walking","8.56","648","01:48:43","120","141","2.2","93","236","12:42","5:28","121","114","0.85","0.0","--","--","--","11,134","--","--","No","00:06:08.1","9","01:44:21","02:35:53","670","747"
Walking,2023-09-24 19:33:12,false,"Majadahonda Walking","10.09","743","02:11:16","117","137","2.6","92","235","13:01","1:19","114","113","0.84","0.0","--","--","--","13,428","--","--","No","00:01:02.7","11","02:07:15","02:11:16","677","749"
Walking,2023-09-22 19:53:30,false,"Majadahonda Walking","6.80","498","01:25:30","114","135","2.3","103","125","12:35","10:05","116","111","0.77","0.0","--","--","--","9,224","--","--","No","00:09:51.3","7","01:23:48","01:25:30","670","750"
Walking,2023-09-18 19:28:02,false,"Majadahonda Walking","7.63","537","01:34:59","111","125","2.3","90","231","12:27","9:42","87","85","0.89","0.0","--","--","--","10,104","--","--","No","00:07:07.8","8","01:32:55","01:36:08","678","749"
Walking,2023-09-17 19:47:57,false,"Pozuelo de Alarcón Walking","4.26","310","01:02:38","103","134","0.9","72","154","14:43","11:54","42","43","0.95","0.0","--","--","--","5,794","--","--","No","00:03:41.3","5","00:58:36","01:14:18","711","738"
Walking,2023-05-01 19:29:16,false,"Majadahonda Walking","8.47","659","01:30:50","132","160","3.0","105","243","10:44","1:49","124","130","0.89","0.0","--","--","--","10,324","--","--","No","00:04:59.1","9","01:30:39","01:53:52","670","749"
Walking,2023-04-30 17:12:09,false,"Majadahonda Walking","4.15","316","00:53:42","120","142","2.1","93","220","12:56","11:10","78","71","0.83","0.0","--","--","--","5,664","--","--","No","00:02:01.5","5","00:53:11","00:53:43","670","722"
Walking,2023-04-24 20:29:59,false,"Majadahonda Walking","4.00","330","00:51:28","111","144","2.2","94","226","12:52","10:12","79","78","0.83","0.0","--","--","--","5,296","--","--","No","00:00:01.4","5","00:48:51","00:51:28","670","721"
